,sig_id,pert_id,pert_iname,pert_type,cell_id,pert_dose,pert_dose_unit,pert_idose,pert_time,pert_time_unit,pert_itime,distil_id
50261,CPC004_HEPG2_6H:BRD-A75409952:10,BRD-A75409952,wortmannin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A04|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A04|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A04
50263,CPC004_HEPG2_6H:BRD-A77291778-003-15-4:10,BRD-A77291778,cyclopentolate,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:C21|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:C21|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:C21
50267,CPC004_HEPG2_6H:BRD-A79981887-003-09-9:10,BRD-A79981887,midodrine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:D06|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:D06|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:D06
50268,CPC004_HEPG2_6H:BRD-A80017228-001-15-8:10,BRD-A80017228,bendroflumethiazide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:G20|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:G20|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:G20
50273,CPC004_HEPG2_6H:BRD-A87445400-003-03-6:10,BRD-A87445400,yohimbine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:B15|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:B15|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:B15
50279,CPC004_HEPG2_6H:BRD-A91008255-003-16-4:10,BRD-A91008255,bepridil,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:G22|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:G22|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:G22
50281,CPC004_HEPG2_6H:BRD-A91699651-316-06-7:10,BRD-A91699651,chloroquine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F17|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F17|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F17
50283,CPC004_HEPG2_6H:BRD-A92537424-001-03-9:10,BRD-A92537424,danazol,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:E03|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:E03|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:E03
50289,CPC004_HEPG2_6H:BRD-A94669766-001-04-2:10,BRD-A94669766,naringenin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:K08|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:K08|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:K08
50296,CPC004_HEPG2_6H:BRD-K02265150-001-15-8:10,BRD-K02265150,amoxapine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:E01|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:E01|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:E01
50299,CPC004_HEPG2_6H:BRD-K02637541-001-06-5:10,BRD-K02637541,celecoxib,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F16|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F16|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F16
50314,CPC004_HEPG2_6H:BRD-K09537769-001-02-4:10,BRD-K09537769,NU-7026,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:N20|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:N20|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:N20
50316,CPC004_HEPG2_6H:BRD-K09631521-001-05-7:10,BRD-K09631521,thiotepa,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:D16|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:D16|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:D16
50319,CPC004_HEPG2_6H:BRD-K12057390-001-02-5:10,BRD-K12057390,apigenin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:K09|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:K09|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:K09
50321,CPC004_HEPG2_6H:BRD-K12539581-001-14-6:10,BRD-K12539581,nocodazole,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F02|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F02|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F02
50323,CPC004_HEPG2_6H:BRD-K13819402-003-06-0:10,BRD-K13819402,desoxypeganine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F13|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F13|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F13
50328,CPC004_HEPG2_6H:BRD-K15933101-001-01-6:10,BRD-K15933101,ropinirole,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L24|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L24|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L24
50332,CPC004_HEPG2_6H:BRD-K17561142-003-16-8:10,BRD-K17561142,amiodarone,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:E22|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:E22|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:E22
50333,CPC004_HEPG2_6H:BRD-K18194590-065-05-6:10,BRD-K18194590,mephentermine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:B24|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:B24|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:B24
50337,CPC004_HEPG2_6H:BRD-K20482099-001-01-1:10,BRD-K20482099,rutin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:K13|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:K13|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:K13
50339,CPC004_HEPG2_6H:BRD-K21450440-001-08-8:10,BRD-K21450440,benzthiazide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:D19|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:D19|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:D19
50342,CPC004_HEPG2_6H:BRD-K22134346-001-11-6:10,BRD-K22134346,simvastatin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:J24|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:J24|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:J24
50345,CPC004_HEPG2_6H:BRD-K24053527-004-03-8:10,BRD-K24053527,dextromethorphan,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:E17|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:E17|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:E17
50346,CPC004_HEPG2_6H:BRD-K24132293-001-13-7:10,BRD-K24132293,piperlongumine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:I03|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:I03|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:I03
50349,CPC004_HEPG2_6H:BRD-K25650355-059-12-2:10,BRD-K25650355,physostigmine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:P05|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:P05|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:P05
50352,CPC004_HEPG2_6H:BRD-K28307902-001-09-2:10,BRD-K28307902,flutamide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:C22|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:C22|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:C22
50353,CPC004_HEPG2_6H:BRD-K28936863-051-18-1:10,BRD-K28936863,ketotifen,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:B19|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:B19|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:B19
50360,CPC004_HEPG2_6H:BRD-K30816563-003-01-1:10,BRD-K30816563,ranitidine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:M03|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:M03|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:M03
50363,CPC004_HEPG2_6H:BRD-K32247306-001-17-9:10,BRD-K32247306,primidone,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:P19|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:P19|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:P19
50364,CPC004_HEPG2_6H:BRD-K32830106-001-01-8:10,BRD-K32830106,guanfacine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:J07|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:J07|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:J07
50366,CPC004_HEPG2_6H:BRD-K33818169-003-01-2:10,BRD-K33818169,GW-3965,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:P04|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:P04|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:P04
50368,CPC004_HEPG2_6H:BRD-K34157611-001-07-9:10,BRD-K34157611,cimetidine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:B23|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:B23|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:B23
50371,CPC004_HEPG2_6H:BRD-K35941380-050-17-0:10,BRD-K35941380,methysergide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:J17|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:J17|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:J17
50373,CPC004_HEPG2_6H:BRD-K36055864-001-09-3:10,BRD-K36055864,cycloheximide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:G06|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:G06|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:G06
50378,CPC004_HEPG2_6H:BRD-K37991163-003-06-8:10,BRD-K37991163,paroxetine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:H24|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:H24|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:H24
50388,CPC004_HEPG2_6H:BRD-K40887525-001-14-4:10,BRD-K40887525,ritanserin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:D24|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:D24|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:D24
50389,CPC004_HEPG2_6H:BRD-K41713976-300-01-8:10,BRD-K41713976,E-4031,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:A11|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:A11|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:A11
50392,CPC004_HEPG2_6H:BRD-K42500029-001-01-9:10,BRD-K42500029,CGP-57380,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:M02|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:M02|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:M02
50395,CPC004_HEPG2_6H:BRD-K42748308-300-01-2:10,BRD-K42748308,XE-991,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:M08|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:M08|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:M08
50401,CPC004_HEPG2_6H:BRD-K45252063-001-06-0:10,BRD-K45252063,clofibrate,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:F04|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:F04|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:F04
50439,CPC004_HEPG2_6H:BRD-K60038276-001-03-3:10,BRD-K60038276,irbesartan,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L06|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L06|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L06
50441,CPC004_HEPG2_6H:BRD-K60762818-003-15-3:10,BRD-K60762818,desipramine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:E11|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:E11|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:E11
50442,CPC004_HEPG2_6H:BRD-K60770992-066-15-1:10,BRD-K60770992,pergolide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:D14|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:D14|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:D14
50443,CPC004_HEPG2_6H:BRD-K62200014-003-05-5:10,BRD-K62200014,anagrelide,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L03|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L03|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L03
50446,CPC004_HEPG2_6H:BRD-K63675182-003-14-5:10,BRD-K63675182,triflupromazine,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:I04|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:I04|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:I04
50451,CPC004_HEPG2_6H:BRD-K64614248-001-06-5:10,BRD-K64614248,salicin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:G14|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:G14|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:G14
50454,CPC004_HEPG2_6H:BRD-K66296774-001-02-0:10,BRD-K66296774,fluvastatin,trt_cp,HEPG2,10.0,µM,10 µM,6,h,6 h,CPC004_HEPG2_6H_X1_B5_DUO52HI53LO:L12|CPC004_HEPG2_6H_X2_F1B5_DUO52HI53LO:L12|CPC004_HEPG2_6H_X3.L2_F2B5_DUO52HI53LO:L12
