,pubchem_smiles,std_canonical_smiles,std_inchi_key
107715,CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4c5c(c[nH]c5ccc4)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,DEQITUUQPICUMR-HJPBWRTMSA-N
3036,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,YVGGHNCTFXOJCH-UHFFFAOYSA-N
2969,CCCCCCCCCC(=O)O,CCCCCCCCCC(=O)O,GHVNFZFCNZKVNT-UHFFFAOYSA-N
72139,C1=CC2=C(C=C1O)OC(=O)S2,O=c1oc2c(ccc(O)c2)s1,SLYPOVJCSQHITR-UHFFFAOYSA-N
443945,CN1C2=CC=CC=C2C(=O)N(C3=CC=CC=C31)CCN(C)C.Cl,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,QPGGEKPRGVJKQB-UHFFFAOYSA-N
21517,CCCCCCCCCCCC[N+]1=CC2=CC=CC=C2C=C1.CC1=CC=C(C=C1)S(=O)(=O)[O-],CCCCCCCCCCCC[n+]1cc2ccccc2cc1,ZFCMISKWVFUWHP-UHFFFAOYSA-N
71809,CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C2CCCC2.[Br-],CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1,GDMZQNKKYVYOBJ-UHFFFAOYSA-N
91735,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F,O=C(Nc1c(F)cc(F)cc1)c1cccnc1Oc1cccc(C(F)(F)F)c1,WYEHFWKAOXOVJD-UHFFFAOYSA-N
162461,CC1=C(C=CC(=C1)OC)NC2=CC=CC=C2,COc1cc(C)c(Nc2ccccc2)cc1,CYMPUOGZUXAIMY-UHFFFAOYSA-N
37123,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,QQQYTWIFVNKMRW-UHFFFAOYSA-N
8362,CC1CC(CC(C1)(C)C)OC(=O)C2=CC=CC=C2O,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,WSSJONWNBBTCMG-UHFFFAOYSA-N
8369,CC1=C(C(=O)C=CO1)O,Cc1c(O)c(=O)cco1,XPCTZQVDEJYUGT-UHFFFAOYSA-N
4379756,C1=CC(=CC=C1O)S(=O)(=O)[O-].[Na+],O=S(=O)(O)c1ccc(O)cc1,FEPBITJSIHRMRT-UHFFFAOYSA-N
3516,COC1=CC=CC=C1OCC(CO)O,COc1ccccc1OCC(O)CO,HSRJKNPTNIJEKV-UHFFFAOYSA-N
17818,CC1=C(C=C(C=C1)N)O,Cc1c(O)cc(N)cc1,DBFYESDCPWWCHN-UHFFFAOYSA-N
65584,C1[C@@H]2C=C[C@H]1[C@H]3[C@@H]2C(=O)NC3=O,O=C1NC(=O)[C@H]2[C@@H]1[C@@H]1C=C[C@H]2C1,GPIUUMROPXDNRH-RNGGSSJXSA-N
208925,CCCCCC[C@@H](CCC)C(=O)O,CCCCCC[C@@H](CCC)C(=O)O,YCYMCMYLORLIJX-SNVBAGLBSA-N
522325,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+],Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,LVWZTYCIRDMTEY-UHFFFAOYSA-N
60196270,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNC[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O,Cc1c(C(F)(F)F)cccc1Nc1c(C(=O)O)cccn1,NOOCSNJCXJYGPE-UHFFFAOYSA-N
298107,CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CN(C)CCOc1ccccc1Cc1ccccc1,IZRPKIZLIFYYKR-UHFFFAOYSA-N
2999413,C[C@H]1CCC[C@@H](CCCCCC2=C(C(=CC(=C2)O)O)C(=O)O1)O,C[C@H]1CCC[C@H](O)CCCCCc2c(C(=O)O1)c(O)cc(O)c2,DWTTZBARDOXEAM-GXTWGEPZSA-N
5355130,CCCCC(CC)COC(=O)/C=C/C1=CC=C(C=C1)OC,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,YBGZDTIWKVFICR-JLHYYAGUSA-N
7658,CCCC(=O)OCCC1=CC=CC=C1,CCCC(=O)OCCc1ccccc1,WFNDDSQUKATKNX-UHFFFAOYSA-N
51,C(CC(=O)O)C(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N
6796,C1=CC=C2C(=C1)C=CC3=C2C=CC=N3,c1ccc2c(c1)ccc1c2cccn1,HCAUQPZEWLULFJ-UHFFFAOYSA-N
7298,C1CCC(C1)O,OC1CCCC1,XCIXKGXIYUWCLL-UHFFFAOYSA-N
27423,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,DAKWPKUUDNSNPN-UHFFFAOYSA-N
1548943,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,COc1c(O)ccc(CNC(=O)CCCC/C=C/C(C)C)c1,YKPUWZUDDOIDPM-SOFGYWHQSA-N
5784,C1=CC(=C(C=C1Cl)C(=O)O)Cl,O=C(O)c1c(Cl)ccc(Cl)c1,QVTQYSFCFOGITD-UHFFFAOYSA-N
76564,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],CCCC[P+](CCCC)(CCCC)CCCC,BJQWBACJIAKDTJ-UHFFFAOYSA-N
101150,CC1CC(=CC(C1C=O)C)C,CC1=CC(C)C(C=O)C(C)C1,YJSUCBQWLKRPDL-UHFFFAOYSA-N
164333,CC(COC(C)(C)C)OCCCO,CC(COC(C)(C)C)OCCCO,OYBCJPZUEMNMGD-UHFFFAOYSA-N
62852,CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,HEGSGKPQLMEBJL-RKQHYHRCSA-N
21220,C(C(C(=O)O)S(=O)(=O)O)C(=O)O,O=C(O)CC(C(=O)O)S(=O)(=O)O,ULUAUXLGCMPNKK-UHFFFAOYSA-N
70213,CC(C)OC(=O)CCC(=O)OC(C)C,CC(C)OC(=O)CCC(=O)OC(C)C,YPLYFEUBZLLLIY-UHFFFAOYSA-N
116529,CC1=C(C(=C(C=C1)Cl)N)Cl,Cc1c(Cl)c(N)c(Cl)cc1,AYVZXDFCFQSWJD-UHFFFAOYSA-N
87820,CCOC(=O)CC(C(=O)C)C(=O)C,CCOC(=O)CC(C(C)=O)C(C)=O,NKGFIBABDQHCHZ-UHFFFAOYSA-N
2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,TXCGAZHTZHNUAI-UHFFFAOYSA-N
14347,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)O,O=C(c1ccccc1)c1ccc(O)cc1,NPFYZDNDJHZQKY-UHFFFAOYSA-N
69819,CCCCCCCCC(=O)Cl,CCCCCCCCC(=O)Cl,NTQYXUJLILNTFH-UHFFFAOYSA-N
7249,CC1=C(C=C(C=C1)O)C,Cc1c(C)cc(O)cc1,YCOXTKKNXUZSKD-UHFFFAOYSA-N
8200,C(COCCOCCOCCO)O,OCCOCCOCCOCCO,UWHCKJMYHZGTIT-UHFFFAOYSA-N
6702,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,Cc1c(N)c2c(cc1)C(=O)c1ccccc1C2=O,ZLCUIOWQYBYEBG-UHFFFAOYSA-N
73670,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1,UXADOQPNKNTIHB-UHFFFAOYSA-N
8439,CC=CC1=CC2=C(C=C1)OCO2,CC=Cc1cc2c(cc1)OCO2,VHVOLFRBFDOUSH-UHFFFAOYSA-N
7421,CN(C)C1=CC(=CC=C1)O,CN(C)c1cc(O)ccc1,MESJRHHDBDCQTH-UHFFFAOYSA-N
5125,CCCCSP(=O)(SCCCC)SCCCC,CCCCSP(=O)(SCCCC)SCCCC,ZOKXUAHZSKEQSS-UHFFFAOYSA-N
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N
6491,CC1(C(=O)NC(=O)N1)C,CC1(C)NC(=O)NC1=O,YIROYDNZEPTFOL-UHFFFAOYSA-N
23664644,C1=CC(=CC=C1N)S(=O)(=O)[O-].[Na+],Nc1ccc(S(=O)(=O)O)cc1,HVBSAKJJOYLTQU-UHFFFAOYSA-N
6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1,YPHMISFOHDHNIV-FSZOTQKASA-N
3391107,C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,WRPIRSINYZBGPK-UHFFFAOYSA-N
5372405,CCNP(=S)(OC)O/C(=C/C(=O)OC(C)C)/C,CCNP(=S)(OC)O/C(C)=C/C(=O)OC(C)C,BZNDWPRGXNILMS-VQHVLOKHSA-N
679,CS(=O)C,C[S+](C)[O-],IAZDPXIOMUYVGZ-UHFFFAOYSA-N
47938,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,CCOC(=O)C(C)Oc1ccc(Oc2nc3c(cc(Cl)cc3)o2)cc1,PQKBPHSEKWERTG-UHFFFAOYSA-N
6249,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,AVKUERGKIZMTKX-NJBDSQKTSA-N
176,CC(=O)O,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N
12977,CCOP(O)OCC,CCOP(O)OCC,SULWMEGSVQCTSK-UHFFFAOYSA-N
8925,COCCOCCOCCOCCOC,COCCOCCOCCOCCOC,ZUHZGEOKBKGPSW-UHFFFAOYSA-N
9554,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SNGREZUHAYWORS-UHFFFAOYSA-N
3045335,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CCC3=CC(=C(C=C3)OC)OC.Cl,COc1c(OC)cc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1,KEDQCFRVSHYKLR-UHFFFAOYSA-N
656641,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,ONJQDTZCDSESIW-UHFFFAOYSA-N
5881,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,FMGSKLZLMKYGDP-USOAJAOKSA-N
441350,C[C@](CC1=CC=C(C=C1)O)(C(=O)O)N,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,NHTGHBARYWONDQ-JTQLQIEISA-N
5206,C(OC(C(F)(F)F)C(F)(F)F)F,FCOC(C(F)(F)F)C(F)(F)F,DFEYYRMXOJXZRJ-UHFFFAOYSA-N
337359,C1COC2=C([C@]13C(=O)NC(=O)N3)C=C(C=C2)F,O=C1NC(=O)[C@@]2(CCOc3c2cc(F)cc3)N1,LXANPKRCLVQAOG-NSHDSACASA-N
392622,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,NCDNCNXCDXHOMX-XGKFQTDJSA-N
47866,C1CC1NC2=NC(=NC(=N2)N)N,Nc1nc(NC2CC2)nc(N)n1,LVQDKIWDGQRHTE-UHFFFAOYSA-N
175967,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],CS(=O)(=O)c1cc([N+](=O)[O-])c(C(=O)C2C(=O)CCCC2=O)cc1,KPUREKXXPHOJQT-UHFFFAOYSA-N
23663938,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)[O-].[Na+],CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,NNULBSISHYWZJU-LLKWHZGFSA-N
17756783,CCOC1=CC=C(C=C1)NC(=C)NC2=CC=C(C=C2)OCC,C=C(Nc1ccc(OCC)cc1)Nc1ccc(OCC)cc1,APAAODWHOIYZEX-UHFFFAOYSA-N
91744,CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C,COCC(C)N(C(=O)CCl)c1c(C)scc1C,JLYFCTQDENRSOL-UHFFFAOYSA-N
16220118,CC1=C(N(C(=C1)CC(=O)[O-])C)C(=O)C2=CC=C(C=C2)Cl.[Na+],Cc1c(C(=O)c2ccc(Cl)cc2)n(C)c(CC(=O)O)c1,ZXVNMYWKKDOREA-UHFFFAOYSA-N
5360232,CC=CC=NNC(=O)C1=CC=NC=C1,CC=CC=NNC(=O)c1ccncc1,YLWYNCPRXFCNLQ-UHFFFAOYSA-N
5311066,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@]35C)O,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,WBGKWQHBNHJJPZ-LECWWXJVSA-N
119182,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,Nc1c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F)c2nc(Cl)n1,WDDPHFBMKLOVOX-AYQXTPAHSA-N
62436,C1CCC(CC1)(C2=CC=CC=C2)N3CCCC3,c1ccc(C2(N3CCCC3)CCCCC2)cc1,FYOWWXMGDATDQY-UHFFFAOYSA-N
5462328,CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C,CC(=O)Oc1c2O[C@H]3[C@@H](OC(C)=O)C=C[C@H]4[C@H]5Cc(c2[C@@]34CCN5C)cc1,GVGLGOZIDCSQPN-PVHGPHFFSA-N
9881626,CCC(=O)NCCC1CCC2=C1C3=C(C=C2)OCC3,CCC(=O)NCCC1CCc2c1c1c(cc2)OCC1,YLXDSYKOBKBWJQ-UHFFFAOYSA-N
47898,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,PTCGDEVVHUXTMP-UHFFFAOYSA-N
4602,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O,O=C(Nc1ccc(O)cc1)c1ccccc1O,LGCMKPRGGJRYGM-UHFFFAOYSA-N
213039,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,CJBJHOAVZSMMDJ-HEXNFIEUSA-N
131204,CC(C)(CO)[C@H](C(=O)NCCCO)O,CC(C)(CO)[C@@H](O)C(=O)NCCCO,SNPLKNRPJHDVJA-ZETCQYMHSA-N
174174,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,RKUNBYITZUJHSG-PJPHBNEVSA-N
10781,CC1CCCCN1CCCOC(=O)C2=CC=CC=C2.Cl,CC1CCCCN1CCCOC(=O)c1ccccc1,YQKAVWCGQQXBGW-UHFFFAOYSA-N
7393,CC(C)(C)C1=CC=C(C=C1)O,CC(C)(C)c1ccc(O)cc1,QHPQWRBYOIRBIT-UHFFFAOYSA-N
16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,NOOLISFMXDJSKH-KXUCPTDWSA-N
27400,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1,CN1CCC(=C2c3ccccc3CCc3c2ccs3)CC1,FIADGNVRKBPQEU-UHFFFAOYSA-N
10866,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,YXUPZGKORWTXID-UHFFFAOYSA-N
60936,C1=CC(=CC=C1SC(P(=O)(O)[O-])P(=O)(O)[O-])Cl.[Na+].[Na+],O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,DKJJVAGXPKPDRL-UHFFFAOYSA-N
56330,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCCN3CCC[C@H](N3C2=O)C(=O)O,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O,HHHKFGXWKKUNCY-FHWLQOOXSA-N
27891,CCCCNC1=CC=C(C=C1)C(=O)OCC[NH+](CC)CC.[Cl-],CCCCNc1ccc(C(=O)OCCN(CC)CC)cc1,JQMCLLAJJLVYOC-UHFFFAOYSA-N
3731,CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,NJKDOADNQSYQEV-UHFFFAOYSA-N
5284529,COC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O,COC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,RDMOROXKXONCAL-UEKVPHQBSA-N
833466,C=CCC1=C(C=CC(=C1)S(=O)(=O)C2=CC(=C(C=C2)O)CC=C)O,C=CCc1c(O)ccc(S(=O)(=O)c2cc(CC=C)c(O)cc2)c1,MTMKZABGIQJAEX-UHFFFAOYSA-N
7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,O=C(Nc1ccc(Cl)cc1)Nc1cc(Cl)c(Cl)cc1,ICUTUKXCWQYESQ-UHFFFAOYSA-N
6240,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,CN(C)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
54739,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,CABMTIJINOIHOD-UHFFFAOYSA-N
6579,C=CC(=O)N,C=CC(N)=O,HRPVXLWXLXDGHG-UHFFFAOYSA-N
15910,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,N#Cc1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl,CRQQGFGUEAVUIL-UHFFFAOYSA-N
6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,COc1c(OC)c(OC)c2c(c1)CC[C@H](NC(C)=O)c1cc(=O)c(OC)ccc1-2,IAKHMKGGTNLKSZ-INIZCTEOSA-N
854019,CN1[C@@H](CCC1=O)C2=CN=CC=C2,CN1C(=O)CC[C@H]1c1cnccc1,UIKROCXWUNQSPJ-VIFPVBQESA-N
996,C1=CC=C(C=C1)O,Oc1ccccc1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N
2775,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC,COc1cc2c(ccc(=O)o2)c(OC)c1,NXJCRELRQHZBQA-UHFFFAOYSA-N
2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,QWCRAEMEVRGPNT-UHFFFAOYSA-N
62485,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,CC(C)(C)CC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)cc1,IYAZLDLPUNDVAG-UHFFFAOYSA-N
7289,C(C(CCl)O)Cl,OC(CCl)CCl,DEWLEGDTCGBNGU-UHFFFAOYSA-N
5282180,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)OC2=C(C3=C(C(=C2C)C)O[C@](CC3)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)/C)/C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c3c(O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC3)c(C)c2C)C(C)(C)CCC1,RIQIJXOWVAHQES-UNAKLNRMSA-N
6257,COC1=CC=CC=C1OCC2CNC(=O)O2,COc1ccccc1OCC1CNC(=O)O1,ZMNSRFNUONFLSP-UHFFFAOYSA-N
5284587,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3C(=O)C[C@@]2([C@]1(C(=O)CO)O)C)C,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,PIDANAQULIKBQS-RNUIGHNZSA-N
289,C1=CC=C(C(=C1)O)O,Oc1ccccc1O,YCIMNLLNPGFGHC-UHFFFAOYSA-N
16640,CC1=CC=CC=C1OCC2CO2,Cc1ccccc1OCC1CO1,KFUSXMDYOPXKKT-UHFFFAOYSA-N
12248306,CCCC[N+]1=CC=CC(=C1)C.[Br-],CCCC[n+]1cccc(C)c1,DADKKHHMGSWSPH-UHFFFAOYSA-N
34757,CC1=CC2=C(C=C1C)SC(=N2)N,Cc1cc2c(cc1C)sc(N)n2,IODWHFFPQHUDAG-UHFFFAOYSA-N
45006154,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC.Cl.Cl.Cl,COc1cc(NCc2c(C)c3c(cc2)nc(N)nc3N)cc(OC)c1OC,NOYPYLRCIDNJJB-UHFFFAOYSA-N
13263,CCNC1=NC(=NC(=N1)SC)NC(C)C,CCNc1nc(NC(C)C)nc(SC)n1,RQVYBGPQFYCBGX-UHFFFAOYSA-N
10457,C(CCCC(=O)O)CCC(=O)O,O=C(O)CCCCCCC(=O)O,TYFQFVWCELRYAO-UHFFFAOYSA-N
7270,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,Clc1c(Cl)cc(Cl)c(Cl)c1,JHBKHLUZVFWLAG-UHFFFAOYSA-N
12955,C[Sn](C)(Cl)Cl,C[Sn](C)(Cl)Cl,PKKGKUDPKRTKLJ-UHFFFAOYSA-L
6537498,CCC(CC(C(C(C(C(C)Cl)Cl)Cl)Cl)Cl)Cl,CCC(Cl)CC(Cl)C(Cl)C(Cl)C(Cl)C(C)Cl,GJGHBJCMOWRRSZ-UHFFFAOYSA-N
